Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,100nF,C_0402_1005Metric,147.574,-118.872,0,top
C5,22uF,C_0805_2012Metric,147.32,-114.3,270,top
C6,1uF,C_0603_1608Metric,136.652,-115.57,180,top
C7,100nF,C_0402_1005Metric,131.0894,-122.5068,90,top
C8,1uF,C_0603_1608Metric,133.604,-115.57,0,top
C9,100nF,C_0402_1005Metric,140.208,-118.11,90,top
C10,100nF,C_0402_1005Metric,140.208,-120.142,90,top
C11,100nF,C_0402_1005Metric,140.208,-122.174,90,top
C14,22uF,C_0805_2012Metric,134.112,-87.122,90,top
C15,22uF,C_0805_2012Metric,145.0594,-114.681,270,top
C16,22uF,C_0805_2012Metric,131.826,-87.122,90,top
D1,1N4148WS,D_SOD-323,145.9611,-111.506,180,top
D2,1N4148WS,D_SOD-323,141.986,-118.872,270,top
D3,1N4148WS,D_SOD-323,143.764,-120.65,270,top
D4,1N4148WS,D_SOD-323,141.986,-122.936,270,top
D5,1N4148WS,D_SOD-323,141.452,-105.958,0,top
D6,1N4148WS,D_SOD-323,137.642,-105.958,180,top
D7,1N4148WS,D_SOD-323,133.35,-105.918,0,top
D8,1N4148WS,D_SOD-323,129.54,-105.918,180,top
D9,1N4148WS,D_SOD-323,149.698,-105.948,0,top
D10,1N4148WS,D_SOD-323,145.888,-105.948,180,top
Q1,HYG013N03LS1C2,LFPAK56,140.69,-94.709,90,top
Q2,HYG013N03LS1C2,LFPAK56,139.606,-102.148,0,top
Q3,HYG013N03LS1C2,LFPAK56,132.588,-94.669,90,top
Q4,HYG013N03LS1C2,LFPAK56,131.504,-102.108,0,top
Q5,HYG013N03LS1C2,LFPAK56,148.936,-94.699,90,top
Q6,HYG013N03LS1C2,LFPAK56,147.852,-102.138,0,top
R1,4.7k,R_0402_1005Metric,147.574,-123.698,0,top
R2,0.001,R_2512_6332Metric,141.478,-87.122,270,top
R3,0.001,R_2512_6332Metric,137.414,-87.122,270,top
R4,22k,R_0402_1005Metric,147.574,-120.65,0,top
R5,2.2k,R_0402_1005Metric,147.574,-121.92,180,top
R6,2.2k,R_0402_1005Metric,147.574,-85.598,90,top
R7,22,R_0402_1005Metric,142.494,-113.284,90,top
R8,2.2k,R_0402_1005Metric,148.082,-87.376,0,top
R9,1,R_0603_1608Metric,141.198,-107.736,0,top
R10,1,R_0603_1608Metric,137.642,-107.736,180,top
R11,1,R_0603_1608Metric,133.096,-107.696,0,top
R12,1,R_0603_1608Metric,129.54,-107.696,180,top
R13,1,R_0603_1608Metric,149.444,-107.726,0,top
R14,1,R_0603_1608Metric,145.888,-107.726,180,top
TH1,10k,R_0603_1608Metric,147.32,-125.095,180,top
U1,ZXCT1009F,SOT-23,145.288,-87.122,90,top
U2,L78L12_SOT89,SOT-89-3,135.128,-112.014,90,top
U3,EG2133,TSSOP-20_4.4x6.5mm_P0.65mm,135.636,-120.396,0,top
